timestamp,robot_id,robot_name,pos_x,pos_y,vel_x,vel_y,speed
0.025,1,swarm_bot_2,0.6005,1.7891,-0.0119,-0.0368,0.0387
0.026,2,swarm_bot_3,-1.5061,1.1013,0.0313,-0.0227,0.0386
0.026,3,swarm_bot_4,-1.511,-1.1115,0.0314,0.0228,0.0388
0.026,1,swarm_bot_2,0.5993,1.7854,-0.0119,-0.0367,0.0386
0.027,2,swarm_bot_3,-1.503,1.0991,0.0312,-0.0226,0.0386
0.027,3,swarm_bot_4,-1.5079,-1.1092,0.0313,0.0227,0.0387
0.094,1,swarm_bot_2,0.5981,1.7817,-0.0119,-0.0366,0.0385
0.095,2,swarm_bot_3,-1.4999,1.0968,0.0312,-0.0226,0.0385
0.095,3,swarm_bot_4,-1.5047,-1.1069,0.0313,0.0227,0.0386
0.096,4,swarm_bot_5,0.5883,-1.784,-0.0117,0.0366,0.0384
0.199,1,swarm_bot_2,0.597,1.7781,-0.0119,-0.0366,0.0384
0.199,2,swarm_bot_3,-1.4968,1.0946,0.0311,-0.0225,0.0384
0.2,3,swarm_bot_4,-1.5016,-1.1047,0.0312,0.0226,0.0385
0.2,4,swarm_bot_5,0.5872,-1.7803,-0.0117,0.0365,0.0383
0.993,1,swarm_bot_2,0.5958,1.7744,-0.0119,-0.0365,0.0384
0.994,2,swarm_bot_3,-1.4937,1.0923,0.031,-0.0225,0.0383
0.995,3,swarm_bot_4,-1.4985,-1.1024,0.0311,0.0226,0.0385
0.995,4,swarm_bot_5,0.586,-1.7767,-0.0117,0.0364,0.0383
0.996,1,swarm_bot_2,0.5946,1.7708,-0.0119,-0.0364,0.0383
0.996,2,swarm_bot_3,-1.4906,1.0901,0.031,-0.0224,0.0382
0.996,3,swarm_bot_4,-1.4954,-1.1002,0.0311,0.0226,0.0384
0.996,4,swarm_bot_5,0.5848,-1.773,-0.0117,0.0364,0.0382
1.012,2,swarm_bot_3,-1.4875,1.0878,0.0309,-0.0224,0.0381
1.013,3,swarm_bot_4,-1.4923,-1.0979,0.031,0.0225,0.0383
1.013,4,swarm_bot_5,0.5837,-1.7694,-0.0117,0.0363,0.0381
1.015,1,swarm_bot_2,0.5934,1.7671,-0.0119,-0.0363,0.0382
